author,orcid,affiliation,affiliation_type,country,paper_title,paper_year,paper_doi,paper_venue,author_position,topic_query,n_relevant_papers,industry_flag,score
"Quni-Gudzinas, Rowan Brad",0009-0002-4317-5604,Q-Flex (United States),industry,US,CRYOGENICALLY STABILIZED SYNTHETIC LATTICE ARCHITECTURE FOR FAULT-TOLERANT QUANTUM COMPUTING,2026,https://doi.org/10.5281/zenodo.17709213,Zenodo (CERN European Organization for Nuclear Research),first,diamond photonics thermal integration,2,1,84
Biqi Cao,,Innovation Team (China),industry,CN,Enabling record-high heat flux in wide-bandgap electronics via in-chip microfluidic cooling on diamond substrates,2026,https://doi.org/10.1007/s11431-025-3150-x,Science China Technological Sciences,first,diamond heat spreader electronics,1,1,76
Delong Xie,,Yuntianhua Group (China),industry,CN,Magnetic field-induced alignment of BNNSs@MnFe2O4 enabling epoxy resin with high thermal conductivity and flame retardancy,2026,https://doi.org/10.1016/j.apsusc.2026.167266,Applied Surface Science,last,advanced packaging thermal resistance high power,1,1,76
K. C. Sheng,,Innovation Team (China),industry,CN,Enabling record-high heat flux in wide-bandgap electronics via in-chip microfluidic cooling on diamond substrates,2026,https://doi.org/10.1007/s11431-025-3150-x,Science China Technological Sciences,last,diamond heat spreader electronics,1,1,76
Manabu Miyawaki,,Lintec Corporation (Japan),industry,JP,Application of Polysilsesquioxane to LED Die Bonding Materials,2026,https://doi.org/10.11618/adhesion.62.36,Journal of The Adhesion Society of Japan,first,advanced packaging thermal resistance high power,1,1,76
Phani Suresh Paladugu,,Synopsys (United States),industry,US,Hybrid 2.5D/3D Integration of Photonic Chiplets and Compute Dies for Scalable Co-Packaged Optical Interconnects in AI Data Centers,2026,https://doi.org/10.37547/tajet/volume08issue03-01,The American Journal of Engineering And Technology,first,co-packaged optics thermal management,1,1,76
Xicheng Zhang,0000-0003-3721-1357,China Electronics Technology Group Corporation,industry,CN,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,first,CVD diamond substrate power electronics,1,1,76
Zhijiao Wang,,Yuntianhua Group (China),industry,CN,Magnetic field-induced alignment of BNNSs@MnFe2O4 enabling epoxy resin with high thermal conductivity and flame retardancy,2026,https://doi.org/10.1016/j.apsusc.2026.167266,Applied Surface Science,first,advanced packaging thermal resistance high power,1,1,76
Chongyang Liu,,DELO Industrial Adhesives,industry,,Adhesive Properties for Successful Photonic Packaging,2025,https://doi.org/10.4071/001c.154003,IMAPSource Proceedings,last,advanced packaging thermal resistance high power,1,1,76
Ernie Long,,MacDermidAlpha Electronics Solutions,industry,,Copper Electroplating Process for mSAP in the Era of AI and HPC,2025,https://doi.org/10.4071/001c.140581,Journal of Microelectronics and Electronic Packaging,last,advanced packaging thermal resistance high power,1,1,76
Garian Lim,,DELO Industrial Adhesives,industry,,Adhesive Properties for Successful Photonic Packaging,2025,https://doi.org/10.4071/001c.154003,IMAPSource Proceedings,first,advanced packaging thermal resistance high power,1,1,76
Katsuhiro Takao,,Tokyo Electron (Japan),industry,JP,Panel Level Package: Reliability Evaluation of Double-sided Direct Copper Plated Interconnects on Embedded Power Die by Thermal and Electrical Stress Test,2025,https://doi.org/10.4071/001c.151188,IMAPSource Proceedings,first,advanced packaging thermal resistance high power,1,1,76
Kerim T. Arat,0000-0002-5446-3006,Quantum Design (United States),industry,US,Multi-Modal Approach for Quality Control and Failure Analysis of Metal Lines for Chiplets Integration,2025,https://doi.org/10.1093/mam/ozaf048.166,Microscopy and Microanalysis,first,advanced packaging thermal resistance high power,1,1,76
Masaya Tanaka,0000-0002-7873-1749,Dai Nippon Printing (Japan),industry,JP,Ultra-High Density RDL on Glass Core Substrate for Heterogenous Integration,2025,https://doi.org/10.4071/001c.129747,IMAPSource Proceedings,last,advanced packaging thermal resistance high power,1,1,76
Saminda Dharmarathna,,MacDermidAlpha Electronics Solutions,industry,,Copper Electroplating Process for mSAP in the Era of AI and HPC,2025,https://doi.org/10.4071/001c.140581,Journal of Microelectronics and Electronic Packaging,first,advanced packaging thermal resistance high power,1,1,76
Shane Lin,,Siliconware Precision Industries (Taiwan),industry,TW,Thermal Performance of High Thermal Conductivity TIM for Large Advanced Package through TTV Measurement and FEM Analysis Approach,2025,https://doi.org/10.4071/001c.147482,IMAPSource Proceedings,first,advanced packaging thermal resistance high power,1,1,76
Shih‐kang Lin,0000-0002-0832-3213,ON Semiconductor (United States),industry,US,Sonochemical Synthesis of Submicrometer Ga-Based Particles for Cu-to-Cu Interconnection,2025,https://doi.org/10.1021/acsaelm.5c01346,ACS Applied Electronic Materials,last,advanced packaging thermal resistance high power,1,1,76
Stefano Spagna,0000-0002-2727-7718,Quantum Design (United States),industry,US,Multi-Modal Approach for Quality Control and Failure Analysis of Metal Lines for Chiplets Integration,2025,https://doi.org/10.1093/mam/ozaf048.166,Microscopy and Microanalysis,last,advanced packaging thermal resistance high power,1,1,76
Sunil Priyadarshi,,Arista (United States),industry,US,Unlocking the Potential of Co-Packaged Optics in AI and HPC: Opportunities and Challenges,2025,https://doi.org/10.1109/mcom.001.2500504,IEEE Communications Magazine,first,co-packaged optics thermal management,1,1,76
Takamasa Takano,,Dai Nippon Printing (Japan),industry,JP,Ultra-High Density RDL on Glass Core Substrate for Heterogenous Integration,2025,https://doi.org/10.4071/001c.129747,IMAPSource Proceedings,first,advanced packaging thermal resistance high power,1,1,76
Tzu-Hsuan Huang,,ON Semiconductor (United States),industry,US,Sonochemical Synthesis of Submicrometer Ga-Based Particles for Cu-to-Cu Interconnection,2025,https://doi.org/10.1021/acsaelm.5c01346,ACS Applied Electronic Materials,first,advanced packaging thermal resistance high power,1,1,76
Y.P. Wang,,Siliconware Precision Industries (Taiwan),industry,TW,Thermal Performance of High Thermal Conductivity TIM for Large Advanced Package through TTV Measurement and FEM Analysis Approach,2025,https://doi.org/10.4071/001c.147482,IMAPSource Proceedings,last,advanced packaging thermal resistance high power,1,1,76
Yoshiaki Aizawa,,Tokyo Electron (Japan),industry,JP,Panel Level Package: Reliability Evaluation of Double-sided Direct Copper Plated Interconnects on Embedded Power Die by Thermal and Electrical Stress Test,2025,https://doi.org/10.4071/001c.151188,IMAPSource Proceedings,last,advanced packaging thermal resistance high power,1,1,76
Huan Wang,0000-0002-6480-9568,"Editor of Physica Status Solidi (RRL) ‐ Rapid Research Letters, Editor‐in‐Chief of Advanced Physics Research, John Wiley &amp; Sons Commercial Service (Beijing) Co Ltd  Beijing 100028 China",industry,,Recent Advances in Semiconductor Materials and Devices,2024,https://doi.org/10.1002/pssr.202400198,physica status solidi (RRL) - Rapid Research Letters,last,diamond photonics thermal integration,1,1,68
Kaysar Rahim,,Northrop Grumman (United States),industry,US,Solder-less Fine Pitch Copper-to-Copper Bonding,2024,https://doi.org/10.4071/001c.94484,IMAPSource Proceedings,last,advanced packaging thermal resistance high power,1,1,68
Nicholas Lay,,Northrop Grumman (United States),industry,US,Solder-less Fine Pitch Copper-to-Copper Bonding,2024,https://doi.org/10.4071/001c.94484,IMAPSource Proceedings,first,advanced packaging thermal resistance high power,1,1,68
Takashi Kawamori,,"High Performance Materials Department, Institute for Advanced Integrated Technology",industry,,Highly Functional Materials for Advanced Package,2024,https://doi.org/10.2494/photopolymer.37.335,Journal of Photopolymer Science and Technology,last,co-packaged optics thermal management,1,1,68
Tetsuya Enomoto,,"High Performance Materials Department, Institute for Advanced Integrated Technology",industry,,Highly Functional Materials for Advanced Package,2024,https://doi.org/10.2494/photopolymer.37.335,Journal of Photopolymer Science and Technology,first,co-packaged optics thermal management,1,1,68
А. Гуревич,,Check Point (Israel),industry,IL,Development of high performance thermoelectric modules with substrates made by vapor chamber technology,2024,https://doi.org/10.63527/1607-8829-2024-3-64-73,Journal of Thermoelectricity,first,AlN ceramic substrate thermal conductivity power module,1,1,68
Fengwen Mu,,Tianjin Energy Investment Group (China),industry,CN,Record- low thermal boundary resistance of GaN-on-diamond structure with ultra-high bonding rate via surface reconstruction bonding technique,2026,https://doi.org/10.1016/j.jallcom.2026.186906,Journal of Alloys and Compounds,middle,GaN-on-diamond thermal management,2,1,64
Haolun Sun,0009-0003-1237-2979,Xidian University,academic,CN,Impact of Carbon Diffusion Induced Stress on the Properties of Diamond/GaN Heterojunctions,2026,https://doi.org/10.3390/nano16040241,Nanomaterials,first,GaN-on-diamond thermal management,5,0,60
Srabanti Chowdhury,0000-0001-8367-0461,Stanford University,academic,US,Cooling performance of top-side polycrystalline diamond integration in RF-power N-polar GaN high-electron-mobility transistors predicted using a robust modeling platform,2026,https://doi.org/10.1063/5.0304824,Journal of Applied Physics,last,GaN-on-diamond thermal management,5,0,60
Mohamadali Malakoutian,0000-0002-5760-0408,Stanford University,academic,US,Diamond thermal matrix demonstration for two-tier 3D integrated circuits,2025,https://doi.org/10.1063/5.0260085,APL Materials,first,GaN-on-diamond thermal management,5,0,60
A. Glen Birdwell,0000-0001-5235-3260,Analog Devices (United States),industry,US,Diamond Epilayers with Subnanometer Surface Roughness for Enhanced Device Performance,2026,https://doi.org/10.1021/acsaelm.5c02384,ACS Applied Electronic Materials,middle,CVD diamond substrate power electronics,1,1,56
Brian Novak,0000-0002-8624-7631,Northrop Grumman (United States),industry,US,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,middle,GaN-on-diamond thermal management,1,1,56
Chao Wang,,Taiwan Semiconductor Manufacturing Company (China),industry,CN,"Nanocopper-based low-temperature interconnection technology: advances in material systems, sintering mechanisms and packaging applications",2026,https://doi.org/10.1108/ssmt-01-2026-0006,Soldering and Surface Mount Technology,middle,advanced packaging thermal resistance high power,1,1,56
Chen Li,,Tongfu Microelectronics (China),industry,CN,Research on Intelligent Thermal Optimization for Chiplet-Based Heterogeneously Integrated AI Chip Embedded with Leaf-Vein-Inspired Fractal Microchannels,2026,https://doi.org/10.3390/ma19040679,Materials,middle,chiplet package thermal hotspot mitigation,1,1,56
Edsger C. P. Smits,0009-0009-4790-0923,Holst Centre (Netherlands),industry,NL,Topology-optimised near-chip microfluidic cooling for high power electronics,2026,https://doi.org/10.1016/j.csite.2026.108358,Case Studies in Thermal Engineering,middle,advanced packaging thermal resistance high power,1,1,56
Elias Garratt,0000-0002-0331-3876,Analog Devices (United States),industry,US,Diamond Epilayers with Subnanometer Surface Roughness for Enhanced Device Performance,2026,https://doi.org/10.1021/acsaelm.5c02384,ACS Applied Electronic Materials,middle,CVD diamond substrate power electronics,1,1,56
Hao Jiang,,Yuntianhua Group (China),industry,CN,Magnetic field-induced alignment of BNNSs@MnFe2O4 enabling epoxy resin with high thermal conductivity and flame retardancy,2026,https://doi.org/10.1016/j.apsusc.2026.167266,Applied Surface Science,middle,advanced packaging thermal resistance high power,1,1,56
Henry Martin,0000-0002-2891-3253,Holst Centre (Netherlands),industry,NL,Topology-optimised near-chip microfluidic cooling for high power electronics,2026,https://doi.org/10.1016/j.csite.2026.108358,Case Studies in Thermal Engineering,middle,advanced packaging thermal resistance high power,1,1,56
Jindao Li,,Yuntianhua Group (China),industry,CN,Magnetic field-induced alignment of BNNSs@MnFe2O4 enabling epoxy resin with high thermal conductivity and flame retardancy,2026,https://doi.org/10.1016/j.apsusc.2026.167266,Applied Surface Science,middle,advanced packaging thermal resistance high power,1,1,56
Kewei Sun,,ON Semiconductor (United States),industry,US,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,middle,CVD diamond substrate power electronics,1,1,56
Mahesh R. Neupane,,Analog Devices (United States),industry,US,Diamond Epilayers with Subnanometer Surface Roughness for Enhanced Device Performance,2026,https://doi.org/10.1021/acsaelm.5c02384,ACS Applied Electronic Materials,middle,CVD diamond substrate power electronics,1,1,56
Miao Cui,,Yuntianhua Group (China),industry,CN,Magnetic field-induced alignment of BNNSs@MnFe2O4 enabling epoxy resin with high thermal conductivity and flame retardancy,2026,https://doi.org/10.1016/j.apsusc.2026.167266,Applied Surface Science,middle,advanced packaging thermal resistance high power,1,1,56
Qiming Lu,,Tianjin Energy Investment Group (China),industry,CN,"A comprehensive review on high-performance vapor chambers: Challenges, mechanisms, and future perspectives",2026,https://doi.org/10.1016/j.applthermaleng.2026.131716,Applied Thermal Engineering,middle,advanced packaging thermal resistance high power,1,1,56
R. S. Howell,0009-0003-6540-5391,Northrop Grumman (United States),industry,US,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,middle,GaN-on-diamond thermal management,1,1,56
Shamima Afroz,0009-0007-8773-5518,Northrop Grumman (United States),industry,US,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,middle,GaN-on-diamond thermal management,1,1,56
Shang Shi,,"Nanjing Electronic Devices Institute, Nanjing, 210016, China",industry,,Experimental study on transient temperature rise characteristics of RF GaN HEMTs,2026,https://doi.org/10.1016/j.microrel.2026.116185,Microelectronics Reliability,middle,GaN HEMT self-heating junction temperature,1,1,56
Shi Lei,,Tongfu Microelectronics (China),industry,CN,Research on Intelligent Thermal Optimization for Chiplet-Based Heterogeneously Integrated AI Chip Embedded with Leaf-Vein-Inspired Fractal Microchannels,2026,https://doi.org/10.3390/ma19040679,Materials,middle,chiplet package thermal hotspot mitigation,1,1,56
Shujuan Liu,,"Yangtze Laboratory, Wuhan 430205, China",industry,,Engineering thermal transport across GaN/diamond interfaces: multifactor regulation and phonon bridge mechanisms elucidated by molecular dynamics,2026,https://doi.org/10.1016/j.apsusc.2026.166260,Applied Surface Science,middle,thermal boundary resistance GaN diamond,1,1,56
Tianjian Liu,,"Yangtze Laboratory, Wuhan 430205, China",industry,,Engineering thermal transport across GaN/diamond interfaces: multifactor regulation and phonon bridge mechanisms elucidated by molecular dynamics,2026,https://doi.org/10.1016/j.apsusc.2026.166260,Applied Surface Science,middle,thermal boundary resistance GaN diamond,1,1,56
Tony Ivanov,0000-0002-1472-788X,Analog Devices (United States),industry,US,Diamond Epilayers with Subnanometer Surface Roughness for Enhanced Device Performance,2026,https://doi.org/10.1021/acsaelm.5c02384,ACS Applied Electronic Materials,middle,CVD diamond substrate power electronics,1,1,56
Valaparla Ranjith Kumar,0000-0002-9940-7710,Vignan’s Institute of Information Technology,industry,,Recent advances in single-phase liquid cooling techniques for performance enhancement of microchannel heat sinks: a review,2026,https://doi.org/10.47481/jten.0022,Journal of Thermal Engineering,middle,advanced packaging thermal resistance high power,1,1,56
Xuetian Bao,,Tongfu Microelectronics (China),industry,CN,Research on Intelligent Thermal Optimization for Chiplet-Based Heterogeneously Integrated AI Chip Embedded with Leaf-Vein-Inspired Fractal Microchannels,2026,https://doi.org/10.3390/ma19040679,Materials,middle,chiplet package thermal hotspot mitigation,1,1,56
Yi Mei,,Yuntianhua Group (China),industry,CN,Magnetic field-induced alignment of BNNSs@MnFe2O4 enabling epoxy resin with high thermal conductivity and flame retardancy,2026,https://doi.org/10.1016/j.apsusc.2026.167266,Applied Surface Science,middle,advanced packaging thermal resistance high power,1,1,56
Yuan-Xi Jia,,Beijing Founder Electronics (China),industry,CN,β-Ga2O3 diodes with ultra-high surge current enabled by Ag/AMB-AlN flip-chip packaging,2026,https://doi.org/10.1016/j.jnlest.2026.100347,Journal of Electronic Science and Technology,middle,advanced packaging thermal resistance high power,1,1,56
Yue Wang,0000-0003-0098-5359,China Electronics Technology Group Corporation,industry,CN,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,middle,CVD diamond substrate power electronics,1,1,56
Yuhui Xie,0000-0002-2964-1309,Yuntianhua Group (China),industry,CN,Magnetic field-induced alignment of BNNSs@MnFe2O4 enabling epoxy resin with high thermal conductivity and flame retardancy,2026,https://doi.org/10.1016/j.apsusc.2026.167266,Applied Surface Science,middle,advanced packaging thermal resistance high power,1,1,56
Zan Wu,,Innovation Team (China),industry,CN,Enabling record-high heat flux in wide-bandgap electronics via in-chip microfluidic cooling on diamond substrates,2026,https://doi.org/10.1007/s11431-025-3150-x,Science China Technological Sciences,middle,diamond heat spreader electronics,1,1,56
Ziqiang Li,,Taiwan Semiconductor Manufacturing Company (China),industry,CN,"Nanocopper-based low-temperature interconnection technology: advances in material systems, sintering mechanisms and packaging applications",2026,https://doi.org/10.1108/ssmt-01-2026-0006,Soldering and Surface Mount Technology,middle,advanced packaging thermal resistance high power,1,1,56
Alberto Peruzzo,0000-0002-7953-3875,Quandela (France),industry,FR,Photoluminescence Properties of Ion-Implanted Er<sup>3+</sup> Defects in 4H-SiCOI for Integrated Quantum Photonics,2025,https://doi.org/10.1021/acsanm.5c00085,ACS Applied Nano Materials,middle,diamond photonics thermal integration,1,1,56
Alexander Hartwig,,DELO Industrial Adhesives,industry,,Adhesive Properties for Successful Photonic Packaging,2025,https://doi.org/10.4071/001c.154003,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
Andrew H. Kang,,Siliconware Precision Industries (Taiwan),industry,TW,Thermal Performance of High Thermal Conductivity TIM for Large Advanced Package through TTV Measurement and FEM Analysis Approach,2025,https://doi.org/10.4071/001c.147482,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
Atsushi Kuroha,,Tokyo Electron (Japan),industry,JP,Panel Level Package: Reliability Evaluation of Double-sided Direct Copper Plated Interconnects on Embedded Power Die by Thermal and Electrical Stress Test,2025,https://doi.org/10.4071/001c.151188,IMAPSource Proceedings,middle,advanced packaging thermal resistance high power,1,1,56
Brian Gokey,,MacDermidAlpha Electronics Solutions,industry,,Copper Electroplating Process for mSAP in the Era of AI and HPC,2025,https://doi.org/10.4071/001c.140581,Journal of Microelectronics and Electronic Packaging,middle,advanced packaging thermal resistance high power,1,1,56
Charles Bae,0000-0003-2991-0617,MacDermidAlpha Electronics Solutions,industry,,Copper Electroplating Process for mSAP in the Era of AI and HPC,2025,https://doi.org/10.4071/001c.140581,Journal of Microelectronics and Electronic Packaging,middle,advanced packaging thermal resistance high power,1,1,56
Darshit Jangid,0009-0004-0869-3224,Quantum Design (Germany),industry,DE,Multi-Modal Approach for Quality Control and Failure Analysis of Metal Lines for Chiplets Integration,2025,https://doi.org/10.1093/mam/ozaf048.166,Microscopy and Microanalysis,middle,advanced packaging thermal resistance high power,1,1,56
Eduardo M. Chumbes,0009-0001-2013-7747,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,thermal boundary resistance GaN diamond,1,1,56
Eric Kil,,MacDermidAlpha Electronics Solutions,industry,,Copper Electroplating Process for mSAP in the Era of AI and HPC,2025,https://doi.org/10.4071/001c.140581,Journal of Microelectronics and Electronic Packaging,middle,advanced packaging thermal resistance high power,1,1,56
