author,orcid,affiliation,affiliation_type,country,paper_title,paper_year,paper_doi,paper_venue,author_position,topic_query,n_relevant_papers,industry_flag,score
Phani Suresh Paladugu,,Synopsys (United States),industry,US,HBM4 Integration In AI/HPC Chiplet Architectures: Co-Design And Telemetry-Driven Optimization,2026,https://doi.org/10.5281/zenodo.18816182,Journal of International Crisis and Risk Communication Research,first,chiplet package thermal,3,1,92
Biqi Cao,,Innovation Team (China),industry,CN,Enabling record-high heat flux in wide-bandgap electronics via in-chip microfluidic cooling on diamond substrates,2026,https://doi.org/10.1007/s11431-025-3150-x,Science China Technological Sciences,first,diamond heat spreader,2,1,84
"Quni-Gudzinas, Rowan Brad",0009-0002-4317-5604,Q-Flex (United States),industry,US,CRYOGENICALLY STABILIZED SYNTHETIC LATTICE ARCHITECTURE FOR FAULT-TOLERANT QUANTUM COMPUTING,2026,https://doi.org/10.5281/zenodo.17709213,Zenodo (CERN European Organization for Nuclear Research),first,diamond heat spreader,2,1,84
He Cao,0000-0001-7349-4556,"State Key Laboratory of Fabrication Technologies for Integrated Circuits, Beijing, China",industry,,Two-Dimensional Thermal-Induced Warpage Prediction for Multi-Chiplet Heterogeneous Integration System in Advanced Packaging,2025,https://doi.org/10.1109/tcpmt.2025.3561419,IEEE Transactions on Components Packaging and Manufacturing Technology,first,chiplet package thermal,2,1,84
Nan Wu,0000-0003-4295-5473,General Research Institute for Nonferrous Metals (China),industry,CN,Subcooled flow boiling in diamond/Cu microchannel heat sinks for near-junction chip cooling,2025,https://doi.org/10.1016/j.csite.2025.105981,Case Studies in Thermal Engineering,first,diamond thermal conductivity substrate,2,1,84
Shijie Du,0009-0002-6899-3523,General Research Institute for Nonferrous Metals (China),industry,CN,Subcooled flow boiling in diamond/Cu microchannel heat sinks for near-junction chip cooling,2025,https://doi.org/10.1016/j.csite.2025.105981,Case Studies in Thermal Engineering,last,diamond thermal conductivity substrate,2,1,84
Wenhao Li,0000-0003-3434-9705,Intel (United Kingdom),industry,GB,Cold Sprayed Copper-Diamond Composites for Thermal Management of Semiconductor Packages,2025,https://doi.org/10.4071/001c.128390,IMAPSource Proceedings,first,diamond thermal conductivity substrate,2,1,84
Jiwen Zhao,,Diamond Materials (United States),industry,US,Modeling optimization and experimental verification of inch-scale heteroepitaxial single-crystal diamond nucleation with 915 MHz MPCVD,2026,https://doi.org/10.1016/j.vacuum.2026.115618,Vacuum,middle,single crystal diamond MPCVD,4,1,80
Ni Chen,0000-0002-2036-0324,Jiangsu Changjiang Electronics Technology (China),industry,CN,Nanosecond UV laser and micro-grinding on copper-based diamonds for electronic packaging,2024,https://doi.org/10.1016/j.ceramint.2024.12.112,Ceramics International,last,copper diamond composite,2,1,76
Yoshihiro TOMITA,,Intel (United Kingdom),industry,GB,Cold Sprayed Copper-Diamond Composites for Thermal Management of Semiconductor Packages,2024,https://doi.org/10.4071/001c.124091,Journal of Microelectronics and Electronic Packaging,last,diamond thermal conductivity substrate,2,1,76
B. McPherson,,Arkansas Power Electronics International,industry,US,Packaging of High Temperature 50 kW SiC Motor Drive Modules for Hybrid-Electric Vehicles,2026,https://doi.org/10.4071/001c.162677,IMAPSource Proceedings,first,die attach thermal resistance,1,1,76
Bolotnikov Alexander,,BMI (South Korea),industry,KR,Electrical and Thermal Performance of SiC Wide-Bandgap Power Devices: Influence of Package Configuration,2026,https://doi.org/10.70322/ism.2026.10008,Intelligent and sustainable manufacturing,last,wide bandgap power device packaging,1,1,76
Chin-Yu Hsu,0009-0009-6267-7897,Independent Researcher,industry,,Non-Electric-Field Perturbation and Coherent Compensation Architecture for Photoelectric Conversion Nodes: A Substrate-Level Physical Compensation Framework for 1.6T/3.2T Co-Packaged Optics,2026,https://doi.org/10.5281/zenodo.19873055,Zenodo (CERN European Organization for Nuclear Research),first,co-packaged optics thermal,1,1,76
Craig A. Fisher,,Vishay Intertechnology (United States),industry,US,"SiC MOSFET reliability: Review of degradation mechanisms, failures, and enhancement strategies",2026,https://doi.org/10.1016/j.eprime.2026.201163,e-Prime – Nexus of Electrical Electronic and Intelligent Engineering,last,wide bandgap power device packaging,1,1,76
David Sopp,,Siemens (Germany),industry,DE,Long term transformation of Cu / Sn intermetallic compounds in large solder joints,2026,https://doi.org/10.1016/j.microrel.2026.116082,Microelectronics Reliability,last,power module baseplate thermal,1,1,76
E. Zakel,,Optech (Canada),industry,CA,Wirebondability and Solderability of NiAu Electroless Front Side Metalized Silicon Wafers Subjected to High Temperature Back End Assembly Process Flows,2026,https://doi.org/10.4071/001c.164932,IMAPSource Proceedings,last,die attach thermal resistance,1,1,76
Fabio Zanon,0009-0007-2360-9221,Eni (Italy),industry,IT,Challenges of the DTT ECH Launchers and Options Under Study,2026,https://doi.org/10.1109/tps.2026.3692783,IEEE Transactions on Plasma Science,last,power module baseplate thermal,1,1,76
J. A. Herbsommer,,Sony (Taiwan),industry,TW,Wirebondability and Solderability of NiAu Electroless Front Side Metalized Silicon Wafers Subjected to High Temperature Back End Assembly Process Flows,2026,https://doi.org/10.4071/001c.164932,IMAPSource Proceedings,first,die attach thermal resistance,1,1,76
Jinqiang Zhang,,Wind Power Engineering (Japan),industry,JP,High-efficiency power electronic devices based on wide-bandgap semiconductor materials,2026,https://doi.org/10.1007/s43236-026-01335-y,Journal of Power Electronics,first,wide bandgap power device packaging,1,1,76
K. C. Sheng,,Innovation Team (China),industry,CN,Enabling record-high heat flux in wide-bandgap electronics via in-chip microfluidic cooling on diamond substrates,2026,https://doi.org/10.1007/s11431-025-3150-x,Science China Technological Sciences,last,diamond heat spreader,1,1,76
Kentaro Nonaka,,NGK Spark Plug (Japan),industry,JP,Epitaxial growth and characterization of AlGaN/GaN HEMT structures on 4 inch directly bonded GaN/SiC substrates,2026,https://doi.org/10.35848/1347-4065/ae6c7c,Japanese Journal of Applied Physics,first,thermal boundary resistance GaN,1,1,76
Kim Byongjin,,BMI (South Korea),industry,KR,Electrical and Thermal Performance of SiC Wide-Bandgap Power Devices: Influence of Package Configuration,2026,https://doi.org/10.70322/ism.2026.10008,Intelligent and sustainable manufacturing,first,wide bandgap power device packaging,1,1,76
Merouane Ouhab,,Mitsubishi Electric (France),industry,FR,Power Modules Lifetime Estimation Under Compound Tests,2026,https://doi.org/10.1109/tpel.2026.3688002,IEEE Transactions on Power Electronics,first,power module baseplate thermal,1,1,76
P. Dreher,,Siemens (Germany),industry,DE,Long term transformation of Cu / Sn intermetallic compounds in large solder joints,2026,https://doi.org/10.1016/j.microrel.2026.116082,Microelectronics Reliability,first,power module baseplate thermal,1,1,76
Peng Hu,,Wind Power Engineering (Japan),industry,JP,High-efficiency power electronic devices based on wide-bandgap semiconductor materials,2026,https://doi.org/10.1007/s43236-026-01335-y,Journal of Power Electronics,last,wide bandgap power device packaging,1,1,76
S. Ress,0000-0003-4611-0718,Siemens (Germany),industry,DE,Improved Thermal Transient Testing of Wide Bandgap Devices with Extremely Low Channel Resistance,2026,https://doi.org/10.3390/en19112678,Energies,first,wide bandgap power device packaging,1,1,76
Shin Uegaki,,Mitsubishi Electric (Japan),industry,JP,Power Modules Lifetime Estimation Under Compound Tests,2026,https://doi.org/10.1109/tpel.2026.3688002,IEEE Transactions on Power Electronics,last,power module baseplate thermal,1,1,76
Simon Soliman,,"Independent Researcher, Tet Collective",industry,,"TET–CVTL NV-Spintronic Chip V1.0: Technical Design, Refinement, Energy Levels and Hyperfine Structures (¹⁴N/¹⁵N), Multilayer 3D Visualization, and Integration with RENASCENT-Q for Advanced Quantum Sensing in Quantum Biology",2026,https://doi.org/10.5281/zenodo.18715952,Zenodo (CERN European Organization for Nuclear Research),first,diamond thermal conductivity substrate,1,1,76
T. Otsuka,,ROHM,industry,JP,Packaging of High Temperature 50 kW SiC Motor Drive Modules for Hybrid-Electric Vehicles,2026,https://doi.org/10.4071/001c.162677,IMAPSource Proceedings,last,die attach thermal resistance,1,1,76
Takashi Yoshino,,NGK Spark Plug (Japan),industry,JP,Epitaxial growth and characterization of AlGaN/GaN HEMT structures on 4 inch directly bonded GaN/SiC substrates,2026,https://doi.org/10.35848/1347-4065/ae6c7c,Japanese Journal of Applied Physics,last,thermal boundary resistance GaN,1,1,76
Xicheng Zhang,0000-0003-3721-1357,China Electronics Technology Group Corporation,industry,CN,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,first,diamond thermal conductivity substrate,1,1,76
Yingzhe Liu,0000-0003-4150-1111,Modern Electron (United States),industry,US,Dielectric properties of high-temperature resistant semi-alicyclic polyimides: Research and application exploration in power devices,2026,https://doi.org/10.1016/j.cej.2026.173496,Chemical Engineering Journal,last,wide bandgap power device packaging,1,1,76
Ali Hajjiah,0000-0002-9736-7372,Kuwait Petroleum Corporation (Kuwait),industry,KW,Simulation of Heat Generation in Reduced Graphene Oxide (RGO)-Contacted Lead-Free Cs3Sb2I9 Perovskite Solar Cells Using COMSOL,2025,https://doi.org/10.1007/s11664-025-12130-z,Journal of Electronic Materials,first,near-junction thermal management,1,1,76
Anand Murugaiah,,Momentive (Japan),industry,JP,Improved Thermal Management in EV Power Electronics with Boron Nitride Filled Potting Compounds,2025,https://doi.org/10.4071/001c.151769,IMAPSource Proceedings,first,die attach thermal resistance,1,1,76
Anne-Marie Laügt,,"Inventec Performance Chemicals, France",industry,,"A Single-Step Process for Die-Attach and Substrate-Attach Using Pressure-Assisted Silver Sintering Paste, Designed to Withstand Harsh Operating Conditions",2025,https://doi.org/10.37665/smdyiez18466,SMTA International,first,wide bandgap power device packaging,1,1,76
Bei Xiang,,Momentive (Japan),industry,JP,Improved Thermal Management in EV Power Electronics with Boron Nitride Filled Potting Compounds,2025,https://doi.org/10.4071/001c.151769,IMAPSource Proceedings,last,die attach thermal resistance,1,1,76
Bernd Dielacher,,EV Group (Austria),industry,AT,Low temperature bonding of diamond heat spreaders for advanced thermal management,2025,https://doi.org/10.35848/1347-4065/adc699,Japanese Journal of Applied Physics,last,diamond heat spreader,1,1,76
Charles Woychik,,NHanced Semiconductors (United States),industry,US,The Future of Electronics Packaging is Chiplet Architecture,2025,https://doi.org/10.37665/smctrsc40814,SMTA International,last,chiplet package thermal,1,1,76
Chee Ping Lee,,APT Electronics (China),industry,CN,"Advanced Packaging Road Map to 2030: Integrating Memory, Logic, and Systems for Artificial Intelligence",2025,https://doi.org/10.1109/med.2026.3651987,IEEE Electron Devices Magazine,first,chiplet package thermal,1,1,76
Chih-Ming Hung,0009-0005-6613-5834,MediaTek (Taiwan),industry,TW,Heterogeneous Integration in Co-Packaged Optics,2025,https://doi.org/10.1109/jetcas.2025.3590744,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,last,co-packaged optics thermal,1,1,76
David A. Nicholson,,Schrodinger (United States),industry,US,Material Property Simulation for Advanced Packaging,2025,https://doi.org/10.4071/001c.153880,IMAPSource Proceedings,last,chiplet package thermal,1,1,76
Dawei Xiao,0000-0002-3291-4259,"Shenzhen Tongfang Electronic New Material Co., Ltd., Shenzhen, 518110, China",industry,,Development of high-performance Cu nanoparticle paste and low-temperature sintering for Cu–Cu bonding,2025,https://doi.org/10.1007/s10854-025-14586-5,Journal of Materials Science Materials in Electronics,last,wide bandgap power device packaging,1,1,76
Divya Taneja,0000-0003-1606-6576,IBM,industry,,Reliable Direct Bonded Heterogeneous Integration (DBHi) for AI Hardware,2025,https://doi.org/10.4071/001c.128330,IMAPSource Proceedings,first,chiplet package thermal,1,1,76
Ercan M. Dede,0000-0001-6740-5916,Toyota Motor Corporation (Switzerland),industry,CH,"Applications, Design Methods, and Challenges for Additive Manufacturing of Thermal Solutions for Heterogeneous Integration of Electronics",2025,https://doi.org/10.1115/1.4067649,Journal of Electronic Packaging,first,chiplet package thermal,1,1,76
Fakhrozi Che Ani,0000-0001-7023-5591,Western Digital (Japan),industry,JP,Numerical analysis of thermal performance in semi-enclosed electronics: investigating active and passive cooling techniques for SSD-driven single-board devices,2025,https://doi.org/10.1016/j.rineng.2025.106669,Results in Engineering,last,near-junction thermal management,1,1,76
Firat Yasar,0000-0003-4100-4940,Boeing (United States),industry,US,GaN/InN HEMT-Based UV Photodetector on SiC with Hexagonal Boron Nitride Passivation,2025,https://doi.org/10.3390/photonics12100950,Photonics,last,GaN HEMT thermal management,1,1,76
Gabriela Pereira,,Yole Intelligence,industry,,AI Market Today and Beyond: Transforming the Future of Advanced Packaging,2025,https://doi.org/10.4071/001c.147787,IMAPSource Proceedings,first,chiplet package thermal,1,1,76
Guoyou Liu,0000-0002-0006-9302,"CRRC Zhuzhou Electric Locomotive Institute Company Ltd., Zhuzhou, China",industry,,Investigation on Creep-Fatigue Interaction Failure of Die-Attach Solder Layers in IGBTs Under Power Cycling,2025,https://doi.org/10.1109/tpel.2025.3530991,IEEE Transactions on Power Electronics,last,die attach thermal resistance,1,1,76
HAN Huanqing,,Advanced Technology & Materials (China),industry,CN,Preparation and properties of chrome-plated diamond/copper composites,2025,https://doi.org/10.19591/j.cnki.cn11-1974/tf.2024050002,DOAJ (DOAJ: Directory of Open Access Journals),last,copper diamond composite,1,1,76
Haisheng Rong,0000-0003-1064-3395,Intel (United States),industry,US,Integrating silicon photonics with complementary metal–oxide–semiconductor technologies,2025,https://doi.org/10.1038/s44287-025-00223-0,Nature Reviews Electrical Engineering,last,co-packaged optics thermal,1,1,76
Hongtu Qian,0000-0003-4597-6325,Dynavax Technologies (Germany),industry,DE,Thermal and microwave performance enhancement of AlGaN/GaN HEMT using an ultra-thin buffer on Si substrate for handset applications,2025,https://doi.org/10.1063/5.0300018,Applied Physics Letters,first,thermal boundary resistance GaN,1,1,76
Johanna Swan,,Intel (United Kingdom),industry,GB,Cold Sprayed Copper-Diamond Composites for Thermal Management of Semiconductor Packages,2025,https://doi.org/10.4071/001c.128390,IMAPSource Proceedings,last,diamond thermal conductivity substrate,1,1,76
John Foley,,Kulicke & Soffa (United States),industry,US,Advances in Vertical Wire Bonding Enable Low-Cost Shielding and Wafer Level Interconnect Solutions,2025,https://doi.org/10.4071/001c.129015,IMAPSource Proceedings,first,chiplet package thermal,1,1,76
Katsuhiro Takao,,Tokyo Electron (Japan),industry,JP,Panel Level Package: Reliability Evaluation of Double-sided Direct Copper Plated Interconnects on Embedded Power Die by Thermal and Electrical Stress Test,2025,https://doi.org/10.4071/001c.151188,IMAPSource Proceedings,first,die attach thermal resistance,1,1,76
Kerim T. Arat,0000-0002-5446-3006,Quantum Design (United States),industry,US,Multi-Modal Approach for Quality Control and Failure Analysis of Metal Lines for Chiplets Integration,2025,https://doi.org/10.1093/mam/ozaf048.166,Microscopy and Microanalysis,first,chiplet package thermal,1,1,76
Kris Erickson,0000-0002-1265-9123,EndoGastric Solutions (United States),industry,US,"Applications, Design Methods, and Challenges for Additive Manufacturing of Thermal Solutions for Heterogeneous Integration of Electronics",2025,https://doi.org/10.1115/1.4067649,Journal of Electronic Packaging,last,chiplet package thermal,1,1,76
Lars Brusberg,0000-0003-0821-9106,Corning (United States),industry,US,Optical Design and Applications for Ion-Exchanged Glass Waveguide Circuits,2025,https://doi.org/10.1109/tcpmt.2025.3526500,IEEE Transactions on Components Packaging and Manufacturing Technology,first,co-packaged optics thermal,1,1,76
Lixiang Zhang,0000-0001-5041-4453,China Electronics Technology Group Corporation,industry,CN,The effect of vacancy defects on the interfacial thermal resistance at the GaN/diamond interfaces: molecular dynamics simulation,2025,https://doi.org/10.1088/1361-651x/adcfb7,Modelling and Simulation in Materials Science and Engineering,last,GaN diamond thermal,1,1,76
